TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,Income,Expenditure,GiftsTransaction,TransactionDate,TransactionTime,TransactionAmount,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,EmailDomain,Terrorism,UserTenure,IsFraud
8765,70,37,Female,Professional,Bachelor,Widowed,3,28884.43,14610.61,1050.01,2023-03-12,12:25:57,258.14,M006,Withdrawal,Adelaide,Mobile,-31.840233,145.612793,jon44@disposable.com,False,113,1
9645,3386,34,Male,Student,High School,Married,4,54919.07,39169.49,4969.71,2023-03-05,18:27:24,34.94,M002,Withdrawal,Canberra,Mobile,-37.0201,144.9646,emilyreese@gmail.com,False,104,1
1145,2971,25,Male,Unemployed,Master,Married,2,74728.57,55873.76,1149.85,2023-11-10,17:16:56,323.82,M008,Purchase,Brisbane,Mobile,-31.840233,145.612793,fordevan@gmail.com,False,105,0
15308,2925,25,Male,Professional,High School,Married,3,55712.62,89649.04,4335.7,2023-10-07,00/34/17,32.49,M001,Purchase,Darwin,iphone 15,-37.0201,144.9646,kathleenlewis@tempmail.com,False,70,1
14967,2339,38,Male,Professional,High School,Single,4,53004.7,43601.02,4763.48,2023-09-22,06:40:08 PM,1140.75,M001,Withdrawal,MLB,Tablet,-37.0201,144.9646,kristinawhite@gmail.com,False,27,0
15336,234,32,Female,Student,Bachelor,Single,1,101381.56,81036.3,196.29,2023-06-30,03:59:57,67.39,M003,Withdrawal,Mel,Tablet,-37.0201,144.9646,marcpadilla@gmail.com,False,35,1
17281,1617,18,Male,Professional,High School,Single,1,63035.98,91610.14,3009.44,2023-11-21,15:00:38,899.6,M007,Purchase,Sydney,Tablet,-31.840233,145.612793,lindsay08@outlook.com,False,53,0
4829,877,39,Male,Professional,High School,Single,4,61284.85,36604.93,1214.27,2023-12-15,19/28/28,19.41,M007,Payment,Hobart,Desktop,-37.0201,144.9646,hperez@gmail.com,False,19,0
12301,4394,39,Male,Student,Bachelor,Single,2,28419.25,11172.93,600.92,2023-02-28,01:51:57,111.73,M008,Withdrawal,Sydney,Mobile,-37.0201,144.9646,ernestdavis@gmail.com,True,28,1
9933,103,21,Male,Student,High School,Single,3,57384.51,40721.71,10819.52,2023-09-10,10:57:08,110.54,M005,Transfer,Canberra,Mobile,-30.000233,136.209152,amy88@gmail.com,False,99,0
10840,3288,52,Female,Professional,Master,Single,1,40702.41,21169.11,63.55,2023-10-24,16:28:04,97.07,M008,Purchase,Canberra,Mobile,-31.840233,145.612793,chapmankeith@gmail.com,False,107,0
8798,358,56,Male,Student,Bachelor,Widowed,3,58628.6,17873.88,1082.43,2023-09-29,22/29/05,672.06,M008,Withdrawal,Darwin,android,-20.917574,142.702789,robinsonjean@gmail.com,False,20,1
16671,1732,41,he,Student,Bachelor,Married,2,85310.21,80911.26,4847.91,2023-12-24,20:08:05,1041.61,M006,Purchase,Hobart,Mobile,-20.917574,142.702789,kathryn86@gmail.com,False,80,0
12962,2407,-24,Female,Student,High School,Widowed,0,52760.64,24006.32,1582.84,2023-05-07,00:58:38,1255.79,M006,Purchase,HBT,Mobile,-31.840233,145.612793,anthonywashington@yahoo.com,False,47,1
4605,3336,31,Male,Professional,High School,Single,0,93197.13,68415.46,3304.34,2023-12-12,21:06:00,527.72,M004,Transfer,Hobart,Mobile,-37.0201,144.9646,crystal01@securemail.com,True,18,0
9477,210,34,isnotfemale,Retired,High School,Single,2,52587.15,38033.86,2019.78,2023-12-18,08/56/27,192.2,M007,Purchase,Canberra,Desktop,-20.917574,142.702789,vanessa51@gmail.com,False,73,0
8238,4228,35,Male,Retired,Bachelor,Single,3,118437.1,39882.13,2740.89,2023-10-30,19:38:10,19.48,M008,Purchase,Melb,iphone 15,-37.0201,144.9646,scott47@outlook.com,True,108,0
10643,2006,41,fem,Professional,Bachelor,Single,2,68140.84,21877.39,2370.43,2023-04-15,05:14:44,3.41,M008,Purchase,Sydney,Desktop,-37.0201,144.9646,blevinsangela@gmail.com,False,9,1
1835,65,21,Female,Professional,Bachelor,Divorced,1,53705.83,41566.98,1951.75,2023-10-28,05:42:44,65.21,M006,Purchase,Brisbane,Tablet,-37.0201,144.9646,larry74@securemail.com,True,100,1
17034,1116,32,Female,Professional,High School,Married,1,60108.48,60993.62,2331.67,2023-04-12,01:46:26,83.52,M006,Purchase,Adelaide,Mobile,-37.0201,144.9646,owensbrianna@gmail.com,False,104,1
